id,name,category,subcategory,description,source,views
iso,ISO/RTO,actor,operator,"Operates the wholesale markets and the grid in a restructured region. Clears the energy, ancillary-service, capacity, and FTR markets and dispatches the system. Plays three roles: market operator, settlement administrator, and central counterparty — the buyer and seller for every cleared transaction.",,"dam-runs,rtm-runs,ftr-runs,capacity-runs,load-bill"
to,Transmission Owner,actor,operator,Owns and maintains transmission assets. May or may not be the same legal entity as the operator. Recovers capital via OATT and revenue requirement.,,
generators,Generators,actor,participant,"Owners of physical supply — power plants, independent producers, storage, and hybrid resources. They bid into the wholesale markets and connect through the interconnection process. Distinct from LSEs (buyers) and traders (financial-only).",,"dam-runs,rtm-runs,capacity-runs"
lses,LSEs,actor,participant,"Load-serving entities — utilities, competitive retailers, munis, and co-ops. They buy wholesale energy and capacity for their retail customers, hold the customer relationship, and carry obligations like state RPS targets.",,"dam-runs,rtm-runs,ftr-runs,capacity-runs,load-bill"
traders,Financial Traders,actor,participant,"Participants with no physical assets or retail load — virtual bidders, FTR traders, and marketers. They take purely financial positions in the energy, FTR, and bilateral markets.",,"dam-runs,ftr-runs"
customers,End Customers,actor,participant,"Retail end customers — residential, commercial, and smaller industrial — served through an LSE under a bundled retail tariff. The whole bill arrives as one rate; they have no direct dealings with the wholesale market. Large flexible loads are split out separately (see largeload).",,
largeload,Large Flexible Loads,actor,participant,"Large, often-flexible loads such as data centers, electrolyzers, and big industrial sites. Unlike ordinary retail customers, they can connect in different ways — through an LSE, directly at the transmission level, or behind the meter with on-site generation — and the connection type changes which wholesale charges they face and which instruments they hold. The focus of current debates over large-load cost allocation.",,load-bill
ferc,FERC,actor,regulator,"Federal regulator with jurisdiction over wholesale markets and interstate transmission. Approves ISO tariffs, issues orders, adjudicates disputes. Also has statutory oversight of NERC and approves its reliability standards.",,
puc,State PUCs,actor,regulator,"State public utility commissions. Regulate retail rates, distribution, and (in vertically integrated states) generation.",,capacity-runs
nerc,NERC,actor,regulator,North American Electric Reliability Corporation and regional entities. Sets and enforces reliability standards under FERC oversight (EPAct 2005).,,
legislature,State Legislatures,actor,regulator,"State legislative bodies and energy offices. Set policy goals via RPS, decarbonization mandates, RA targets.",,capacity-runs
dam,DAM,mechanism,market,Day-ahead energy market. Clears next-day hourly schedules and produces the hourly prices (LMPs) the ISO settles against.,,"dam-runs,rtm-runs,ftr-runs,load-bill"
rtm,RTM,mechanism,market,Real-time energy market. Clears in 5-min intervals via SCED. Settles deviations from DAM positions at RTM LMPs.,,"dam-runs,rtm-runs,ftr-runs,load-bill"
as,AS Markets,mechanism,market,"Ancillary service markets — regulation, spinning, non-spinning, ramping. Co-optimized with energy in DAM and RTM.",,"dam-runs,rtm-runs,load-bill"
capacity,Capacity Market,mechanism,market,"Multi-year forward procurement of capacity obligations (PJM RPM, ISO-NE FCM, NYISO ICAP, MISO PRA). CAISO and ERCOT use alternative mechanisms.",,"capacity-runs,load-bill"
ftr,FTR Auction,mechanism,market,"Long-term, annual, and monthly auctions of congestion hedges. Cleared via simultaneous feasibility test (SFT) on a network model. FTRs are settled against DAM congestion.",,"dam-runs,ftr-runs"
bilateral,Bilateral Markets,mechanism,market,"Over-the-counter contracts negotiated directly between two parties: PPAs, tolling, bilateral capacity, and financial swaps. No central clearing, but most settle against standard references like the day-ahead price.",,"dam-runs,capacity-runs,load-bill"
interconnection,Interconnection Process,mechanism,process,The queue and study process for connecting new generation to the grid. Increasingly auction-like; allocates network upgrade costs and queue position.,,load-bill
arr,ARR Allocation,mechanism,process,"Administrative assignment of FTR auction revenues to LSEs, based on historical load and transmission cost responsibility. Paired with FTR auction but mechanically distinct — no clearing, just a formula.",,"ftr-runs,load-bill"
oatt,Transmission Tariffs,mechanism,tariff,"FERC-regulated transmission charges — the Open Access Transmission Tariff and related service rates. Sets what transmission users pay and what transmission owners recover; the ISO collects and remits.",,"ftr-runs,load-bill"
retail,Retail Tariffs,mechanism,tariff,"Retail rate structures set by state PUCs. Pass through wholesale energy, capacity, transmission, ARR credits, and policy adders. The administratively-set far end of the liquidity gradient.",,load-bill
